Ном.,Имя,Рейт,Результат,Имя.1,Рейт.1,Ном..1
16,Сагитов Ильназ,1091,0-1,Исхаков Ильшат,2063,1
2,Скрынников Геннадий,1483,1-0,Ишкинина Самира,1088,17
18,Шаяхметов Арслан,1081,0-1,Насыров Данил,1380,3
4,Корсаков Тимур,1305,1-0,Герунов Иван,1038,19
20,Заварихин Михаил,1025,0-1,Фоменко Матвей,1279,5
6,Ишкинин Филюс,1225,1-0,Мкртумян Давид,1020,21
22,Мкртумян Марк,1018,0-1,Корсаков Вадим,1217,7
8,Ибрагимов Камиль,1216,0-1,Мкртумян Эдуард,1004,23
25,Герунова Анна,1000,0-1,Стрелкова Екатерина,1189,9
10,Ибрагимов Рафаэль,1178,1-0,Ермаков Станислав,1000,26
28,Рахимов Загир,1000,1-0,Рахимкулов Ильнур,1154,11
12,Стрелкова Анастасия,1153,0-1,Рябиков Эдуард,1000,29
31,Сидоров  Андрей,1000,1-0,Алферов Роман,1139,13
14,Мкртумян Арсен,1133,0-1,Тулумгужин Зуфар,1000,32
24,Багаев Карим,1000,½-½,Ишкинина Юлия,1125,15
30,Сафеев Булат,1000,½-½,Каранаев Рафис,1000,27
1,Исхаков Ильшат,2063,1-0,Стрелкова Екатерина,1189,9
23,Мкртумян Эдуард,1004,0-1,Скрынников Геннадий,1483,2
3,Насыров Данил,1380,1-0,Ибрагимов Рафаэль,1178,10
29,Рябиков Эдуард,1000,1-0,Корсаков Тимур,1305,4
5,Фоменко Матвей,1279,1-0,Рахимов Загир,1000,28
32,Тулумгужин Зуфар,1000,0-1,Ишкинин Филюс,1225,6
7,Корсаков Вадим,1217,0-1,Сидоров  Андрей,1000,31
15,Ишкинина Юлия,1125,0-1,Сафеев Булат,1000,30
27,Каранаев Рафис,1000,0-1,Багаев Карим,1000,24
18,Шаяхметов Арслан,1081,0-1,Ибрагимов Камиль,1216,8
11,Рахимкулов Ильнур,1154,1-0,Заварихин Михаил,1025,20
19,Герунов Иван,1038,0-1,Стрелкова Анастасия,1153,12
13,Алферов Роман,1139,1-0,Мкртумян Марк,1018,22
21,Мкртумян Давид,1020,1-0,Мкртумян Арсен,1133,14
26,Ермаков Станислав,1000,½-½,Сагитов Ильназ,1091,16
17,Ишкинина Самира,1088,1-0,Герунова Анна,1000,25
6,Ишкинин Филюс,1225,0-1,Исхаков Ильшат,2063,1
2,Скрынников Геннадий,1483,1-0,Фоменко Матвей,1279,5
31,Сидоров  Андрей,1000,0-1,Насыров Данил,1380,3
24,Багаев Карим,1000,1-0,Рябиков Эдуард,1000,29
30,Сафеев Булат,1000,1-0,Корсаков Вадим,1217,7
4,Корсаков Тимур,1305,1-0,Ишкинина Самира,1088,17
8,Ибрагимов Камиль,1216,1-0,Мкртумян Давид,1020,21
9,Стрелкова Екатерина,1189,1-0,Мкртумян Эдуард,1004,23
10,Ибрагимов Рафаэль,1178,1-0,Тулумгужин Зуфар,1000,32
12,Стрелкова Анастасия,1153,1-0,Рахимкулов Ильнур,1154,11
28,Рахимов Загир,1000,1-0,Алферов Роман,1139,13
26,Ермаков Станислав,1000,0-1,Ишкинина Юлия,1125,15
16,Сагитов Ильназ,1091,0-1,Каранаев Рафис,1000,27
14,Мкртумян Арсен,1133,0-1,Заварихин Михаил,1025,20
22,Мкртумян Марк,1018,0-1,Шаяхметов Арслан,1081,18
25,Герунова Анна,1000,0-1,Герунов Иван,1038,19
1,Исхаков Ильшат,2063,1-0,Скрынников Геннадий,1483,2
3,Насыров Данил,1380,½-½,Сафеев Булат,1000,30
4,Корсаков Тимур,1305,0-1,Багаев Карим,1000,24
5,Фоменко Матвей,1279,0-1,Ибрагимов Рафаэль,1178,10
